Date,Open,High,Low,Close
2021-11-21,4.05525,4.16333,4.03755,4.15611
2021-11-28,4.16008,4.20125,4.1551,4.15987
2021-12-05,4.16835,4.17725,4.04785,4.0669
2021-12-12,4.06535,4.1005,4.04945,4.08252
2021-12-19,4.08354,4.1232,4.0782,4.12213
2021-12-26,4.1222,4.12335,4.07249,4.0845
2022-01-02,4.08468,4.09165,4.02812,4.0341
2022-01-09,4.03605,4.06096,3.9985,4.0007
2022-01-16,4.0015,4.02209,3.9428,3.97372
2022-01-23,3.9741,4.0133,3.9542,3.9948
2022-01-30,3.99035,4.12355,3.98976,4.1132
2022-02-06,4.11282,4.12166,3.9551,3.98645
2022-02-13,3.98097,4.03945,3.913,4.02721
2022-02-20,4.02995,4.05515,3.93821,4.00155
2022-02-27,4.00171,4.24163,3.9621,4.11907
2022-03-06,4.2116,4.48641,4.16766,4.47808
2022-03-13,4.49695,4.6203,4.29492,4.3837
2022-03-20,4.38929,4.39541,4.1978,4.26425
2022-03-27,4.26992,4.35555,4.22788,4.26385
2022-04-03,4.26824,4.31532,4.14961,4.19311
2022-04-10,4.20516,4.28573,4.19515,4.2576
2022-04-17,4.2532,4.32337,4.24315,4.28734
2022-04-24,4.28372,4.316,4.2467,4.3115
2022-05-01,4.29983,4.49295,4.2934,4.43105
2022-05-08,4.43568,4.48645,4.36988,4.4677
2022-05-15,4.46118,4.52779,4.40545,4.5105
2022-05-22,4.50308,4.5063,4.37539,4.382
2022-05-29,4.38097,4.384,4.25417,4.26008
2022-06-05,4.2623,4.32095,4.2377,4.27845
2022-06-12,4.27968,4.3958,4.2535,4.3849
2022-06-19,4.37772,4.54475,4.36749,4.45725
2022-06-26,4.46442,4.49423,4.3858,4.4404
2022-07-03,4.44606,4.5387,4.41358,4.4954
2022-07-10,4.5014,4.76505,4.4888,4.69515
2022-07-17,4.69602,4.8507,4.6901,4.7463
2022-07-24,4.7356,4.74425,4.6222,4.6456
2022-07-31,4.63842,4.74935,4.5782,4.63744
2022-08-07,4.64035,4.66345,4.58305,4.62585
2022-08-14,4.63081,4.63724,4.50795,4.54105
2022-08-21,4.54405,4.73575,4.53945,4.7294
2022-08-28,4.73256,4.8232,4.70529,4.75721
2022-09-04,4.7621,4.79128,4.6824,4.74278
2022-09-11,4.75433,4.796,4.652,4.66994
2022-09-18,4.6565,4.7475,4.60435,4.71225
2022-09-25,4.71411,4.9215,4.68135,4.91156
2022-10-02,4.90295,5.06062,4.88121,4.9573
2022-10-09,4.94525,5.00848,4.80814,4.99025
2022-10-16,4.9952,5.0411,4.89225,4.9371
2022-10-23,4.94807,4.98357,4.83441,4.84337
2022-10-30,4.83421,4.88545,4.69995,4.7344
2022-11-06,4.74133,4.8431,4.70151,4.7073
2022-11-13,4.72282,4.749,4.51558,4.51748
2022-11-20,4.531,4.62595,4.47642,4.55125
2022-11-27,4.5529,4.60725,4.4992,4.50788
2022-12-04,4.52415,4.54272,4.439,4.44165
2022-12-11,4.43695,4.50475,4.4129,4.45223
2022-12-18,4.4504,4.4716,4.36761,4.42435
2022-12-25,4.42695,4.43545,4.3633,4.373
